;list_name;amazon_product_url;author;book_review_link;contributor;contributor_note;created_date;description;primary_isbn10;primary_isbn13;book_uri;publisher;rank;rank_last_week;sunday_review_link;title;updated_date;weeks_on_list
0;Combined Print & E-Book Fiction;https://www.amazon.com/dp/1250272939?tag=NYTBSREV-20;Nora Roberts;;by Nora Roberts;;2021-06-02 22:14:29;Threats put in rhymes and sent from shifting locations escalate as the daughter of a successful fitness celebrity’s own yoga business grows.;1250272947;9781250272942;nyt://book/bd2e7444-66ef-569b-827a-c4214637bdb9;St. Martin's;1;0;;LEGACY;2021-06-02 22:19:31;1
1;Combined Print & E-Book Fiction;https://www.amazon.com/dp/1501171348?tag=NYTBSREV-20;Laura Dave;;by Laura Dave;;2021-06-02 22:14:29;Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.;1501171364;9781501171369;nyt://book/e2ee5109-2949-5f7d-ac7f-120a514f38f2;Simon & Schuster;2;1;;THE LAST THING HE TOLD ME;2021-06-02 22:19:31;4
2;Combined Print & E-Book Fiction;https://www.amazon.com/dp/0593333128?tag=NYTBSREV-20;Christine Feehan;;by Christine Feehan;;2021-06-02 22:14:29;The sixth book in the Shadow Riders series. Emmanuelle is pulled toward Valentino and his family’s private war.;0593333136;9780593333136;nyt://book/21783b4c-401f-53dd-852a-9d4169f4acdc;Berkley;3;0;;SHADOW STORM;2021-06-02 22:19:31;1
3;Combined Print & E-Book Fiction;https://www.amazon.com/dp/0593135202?tag=NYTBSREV-20;Andy Weir;https://www.nytimes.com/2021/05/04/books/review/andy-weir-project-hail-mary.html;by Andy Weir;;2021-06-02 22:14:29;Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders.;0593135202;9780593135204;nyt://book/36c6314a-7962-511c-b4c8-7927200740af;Ballantine;4;3;;PROJECT HAIL MARY;2021-06-02 22:19:31;4
4;Combined Print & E-Book Fiction;https://www.amazon.com/dp/0385547684?tag=NYTBSREV-20;John Grisham;;by John Grisham;;2021-06-02 22:14:29;Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.;0385547684;9780385547680;nyt://book/010af0b7-2a30-598f-97f5-1ed63c3426e1;Doubleday;5;2;;SOOLEY;2021-06-02 22:19:31;5
0;Combined Print & E-Book Nonfiction;https://www.amazon.com/dp/125027365X?tag=NYTBSREV-20;Bill O'Reilly and Martin Dugard;;by Bill O'Reilly and Martin Dugard;;2021-06-02 22:14:30;The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.;125027365X;9781250273659;nyt://book/008ceb69-609e-572b-9c74-ba6d1a93056e;St. Martin's;1;3;;KILLING THE MOB;2021-06-02 22:19:32;4
1;Combined Print & E-Book Nonfiction;https://www.amazon.com/dp/1250223180?tag=NYTBSREV-20;Bruce D. Perry and Oprah Winfrey;;by Bruce D. Perry and Oprah Winfrey;;2021-06-02 22:14:30;An approach to dealing with trauma that shifts an essential question used to investigate it.;1250223180;9781250223180;nyt://book/5bd45771-6d8f-5a8e-aa45-46b74262534e;Flatiron;2;5;;WHAT HAPPENED TO YOU?;2021-06-02 22:19:32;5
2;Combined Print & E-Book Nonfiction;https://www.amazon.com/dp/0525555218?tag=NYTBSREV-20;John Green;;by John Green;;2021-06-02 22:14:30;A collection of personal essays that review different facets of the human-centered planet.;0525555218;9780525555216;nyt://book/ce122c17-5c31-5c93-88f5-48543e0def07;Dutton;3;1;;THE ANTHROPOCENE REVIEWED;2021-06-02 22:19:32;2
3;Combined Print & E-Book Nonfiction;https://www.amazon.com/dp/0399589015?tag=NYTBSREV-20;Carol Leonnig;;by Carol Leonnig;;2021-06-02 22:14:30;The three-time Pulitzer Prize winner brings to light the secrets, scandals and shortcomings of the Secret Service.;0399589015;9780399589010;nyt://book/2bb7ce01-96cb-5fbe-883f-f1512e5543be;Random House;4;2;;ZERO FAIL;2021-06-02 22:19:32;2
4;Combined Print & E-Book Nonfiction;https://www.amazon.com/dp/0393881555?tag=NYTBSREV-20;Michael Lewis;https://www.nytimes.com/2021/05/03/books/review-premonition-pandemic-michael-lewis.html;by Michael Lewis;;2021-06-02 22:14:30;Stories of skeptics who went against the official response of the Trump administration to the outbreak of Covid-19. The profiles include a local public-health officer and a group of doctors nicknamed the Wolverines.;0393881555;9780393881554;nyt://book/1cbc4e2a-b8bc-5489-a5e2-befb6d3279a6;Norton;5;6;;THE PREMONITION;2021-06-02 22:19:32;4
