;Title;Price;url;Review_score;Review_count
0;The Last Thing He Told Me: A Novel;16.88;https://www.amazon.com/dp/1501171348?tag=NYTBSREV-20;4.4;7509
1;Sooley: A Novel;17.37;https://www.amazon.com/dp/0385547684?tag=NYTBSREV-20;4.5;10868
2;Project Hail Mary: A Novel;15.89;https://www.amazon.com/dp/0593135202?tag=NYTBSREV-20;4.7;8988
3;Where the Crawdads Sing;10.99;https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20;4.8;133495
4;21st Birthday (Women's Murder Club, 21);17.69;https://www.amazon.com/dp/031649934X?tag=NYTBSREV-20;4.5;8249
5;The Anthropocene Reviewed (Signed Edition): Essays on a Human-Centered Planet;16.80;https://www.amazon.com/dp/0525555218?tag=NYTBSREV-20;4.9;387
6;Zero Fail: The Rise and Fall of the Secret Service;14.83;https://www.amazon.com/dp/0399589015?tag=NYTBSREV-20;4.6;675
7;Killing the Mob: The Fight Against Organized Crime in America (Bill O'Reilly's Killing Series);18.00;https://www.amazon.com/dp/125027365X?tag=NYTBSREV-20;4.5;2328
8;Noise: A Flaw in Human Judgment;19.20;https://www.amazon.com/dp/0316451401?tag=NYTBSREV-20;4.1;88
9;What Happened to You?: Conversations on Trauma, Resilience, and Healing;17.39;https://www.amazon.com/dp/1250223180?tag=NYTBSREV-20;4.7;1231
10;Sooley: A Novel;17.37;https://www.amazon.com/dp/0385547684?tag=NYTBSREV-20;4.5;10868
11;The Last Thing He Told Me: A Novel;16.88;https://www.amazon.com/dp/1501171348?tag=NYTBSREV-20;4.4;7510
12;Project Hail Mary: A Novel;15.89;https://www.amazon.com/dp/0593135202?tag=NYTBSREV-20;4.7;8988
13;While Justice Sleeps: A Novel;14.83;https://www.amazon.com/dp/0385546572?tag=NYTBSREV-20;4.6;1598
14;21st Birthday (Women's Murder Club, 21);17.69;https://www.amazon.com/dp/031649934X?tag=NYTBSREV-20;4.5;8249
15;The Anthropocene Reviewed (Signed Edition): Essays on a Human-Centered Planet;16.80;https://www.amazon.com/dp/0525555218?tag=NYTBSREV-20;4.9;387
16;Zero Fail: The Rise and Fall of the Secret Service;14.83;https://www.amazon.com/dp/0399589015?tag=NYTBSREV-20;4.6;675
17;Killing the Mob: The Fight Against Organized Crime in America (Bill O'Reilly's Killing Series);18.00;https://www.amazon.com/dp/125027365X?tag=NYTBSREV-20;4.5;2328
18;What Happened to You?: Conversations on Trauma, Resilience, and Healing;17.39;https://www.amazon.com/dp/1250223180?tag=NYTBSREV-20;4.7;1231
19;Noise: A Flaw in Human Judgment;19.20;https://www.amazon.com/dp/0316451401?tag=NYTBSREV-20;4.1;88
20;Where the Crawdads Sing;10.99;https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20;4.8;133495
21;The Song of Achilles: A Novel;10.42;http://www.amazon.com/The-Song-Achilles-A-Novel/dp/0062060627?tag=NYTBSREV-20;4.7;20801
22;The Silent Patient;13.95;https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696?tag=NYTBSREV-20;4.5;75519
23;People We Meet on Vacation;10.06;https://www.amazon.com/dp/1984806750?tag=NYTBSREV-20;4.5;1997
24;The Woman in the Window: A Novel;12.99;https://www.amazon.com/Woman-Window-Novel-J-Finn/dp/0062678418?tag=NYTBSREV-20;4.4;28716
25;The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma;9.99;http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20;4.8;30178
26;Just Mercy: A Story of Justice and Redemption;9.17;http://www.amazon.com/Just-Mercy-Story-Justice-Redemption-ebook/dp/B00JYWVYLY?tag=NYTBSREV-20;4.8;18755
27;White Fragility: Why It's So Hard for White People to Talk About Racism;8.16;https://www.amazon.com/White-Fragility-People-About-Racism/dp/0807047414?tag=NYTBSREV-20;4.5;34596
28;Born a Crime: Stories from a South African Childhood;7.26;https://www.amazon.com/Born-Crime-Stories-African-Childhood-ebook/dp/B01DHWACVY?tag=NYTBSREV-20;4.8;34893
29;Becoming;8.19;https://www.amazon.com/Becoming-Michelle-Obama/dp/1524763136?tag=NYTBSREV-20;4.8;111774
30;The Boy, the Mole, the Fox and the Horse;14.03;https://www.amazon.com/Boy-Mole-Fox-Horse/dp/0062976583?tag=NYTBSREV-20;4.9;76252
31;Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones;11.98;https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299?tag=NYTBSREV-20;4.8;43226
32;You Will Get Through This Night;15.45;https://www.amazon.com/dp/0063053888?tag=NYTBSREV-20;4.9;219
33;The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today;15.59;https://www.amazon.com/dp/0063046598?tag=NYTBSREV-20;4.9;3690
34;World Travel: An Irreverent Guide;21.00;https://www.amazon.com/dp/0062802798?tag=NYTBSREV-20;4.5;1019
35;Stamped (For Kids): Racism, Antiracism, and You;13.99;https://www.amazon.com/dp/0316167584?tag=NYTBSREV-20;5.0;69
36;Wonder;9.99;http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=NYTBSREV-20;4.8;30235
37;The One and Only Bob (One and Only Ivan);12.75;https://www.amazon.com/dp/0062991310?tag=NYTBSREV-20;4.8;7696
38;The Ickabog;12.55;https://www.amazon.com/dp/1338732870?tag=NYTBSREV-20;4.7;13133
39;Refugee;6.45;https://www.amazon.com/Refugee-Alan-Gratz/dp/0545880831?tag=NYTBSREV-20;4.7;4829
40;I Wish You More (Encouragement Gifts for Kids, Uplifting Books for Graduation);7.48;http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBSREV-20;4.8;5535
41;Thank You, Teacher from The Very Hungry Caterpillar;7.46;https://www.amazon.com/dp/0593226186?tag=NYTBSREV-20;4.9;58
42;The Wonderful Things You Will Be;9.87;http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20;4.9;15567
43;Shady Baby;12.36;https://www.amazon.com/dp/0063054035?tag=NYTBSREV-20;4.9;76
44;The Circles All Around Us;15.99;https://www.amazon.com/dp/0593323181?tag=NYTBSREV-20;5.0;62
45;Shadow and Bone (The Shadow and Bone Trilogy, 1);7.82;https://www.amazon.com/dp/1250027438?tag=NYTBSREV-20;4.5;14146
46;Diary of a Wimpy Kid: Hard Luck, Book 8;15.00;http://www.amazon.com/Diary-Wimpy-Kid-Hard-Luck/dp/1419711326?tag=NYTBSREV-20;Nothing;9340
47;Rowley Jefferson’s Awesome Friendly Spooky Stories (Awesome Friendly Kid);9.44;https://www.amazon.com/dp/1419756974?tag=NYTBSREV-20;4.7;2622
48;Harry Potter and the Order of the Phoenix (5);6.98;http://www.amazon.com/Harry-Potter-And-Order-Phoenix/dp/0439358078?tag=NYTBSREV-20;4.9;27051
49;The Brightest Night (Wings of Fire #5) (5);14.26;http://www.amazon.com/Wings-Fire-Book-Five-Brightest/dp/0545349222?tag=NYTBSREV-20;4.9;3125
50;Realm Breaker;13.98;https://www.amazon.com/dp/0062872621?tag=NYTBSREV-20;4.5;257
51;Mister Impossible (The Dreamer Trilogy #2) (2);16.99;https://www.amazon.com/dp/1338188364?tag=NYTBSREV-20;4.6;180
52;Stamped: Racism, Antiracism, and You: A Remix of the National Book Award-winning Stamped from the Beginning;8.99;https://www.amazon.com/dp/0316453692?tag=NYTBSREV-20;4.8;6818
53;One of Us Is Lying;Book 1 of 2: One of Us is Lying Series;https://www.amazon.com/One-Us-Lying-Karen-McManus/dp/1524714682?tag=NYTBSREV-20;4.6;14529
54;Rule of Wolves (King of Scars Duology, 2);13.79;https://www.amazon.com/dp/125014230X?tag=NYTBSREV-20;4.8;3198
